Id,AuctioneerID,Auction,AuctSessionID,AuctSessionName,GoedID,Lotnr,Description,LowEstimate,HighEstimate,LowEstimateNum,Search,ImageURL,datumTot
686967,deeland,25 Schip1,67,gevonden voorwerpen,10944,7001,"Lot diverse gevonden voorwerpen, exclusief kar",600,900,600,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7001;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/e04c7717-e99c-4740-9368-2bedc3bbb7bb_TH.png,2025-01-27T16:00:28+00:00
686968,deeland,25 Schip1,67,gevonden voorwerpen,10978,7002,"Lot diverse gevonden voorwerpen, exclusief kar",600,900,600,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7002;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/f46b1289-95c2-4770-b12a-93c26f2f9a67_TH.png,2025-01-27T16:00:28+00:00
686969,deeland,25 Schip1,67,gevonden voorwerpen,10972,7003,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7003;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/5227a441-666b-4fb0-8342-81d5108f1e1d_TH.png,2025-01-27T16:00:28+00:00
686970,deeland,25 Schip1,67,gevonden voorwerpen,11169,7004,"Groot lot divers gereedschap, waaronder gebruikt en nieuw in verpakking, exlcusief kar en kratten",1500,2000,1500,"Groot lot divers gereedschap, waaronder gebruikt en nieuw in verpakking, exlcusief kar en kratten;;;Gevonden Voorwerpen Schiphol ^;;7004;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/518bf3b5-b6be-46f5-adea-ff524d36307b_TH.png,2025-01-27T16:00:28+00:00
686971,deeland,25 Schip1,67,gevonden voorwerpen,11140,7005,"Lot diverse koffers, exclusief kar",600,900,600,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7005;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/6d857682-11c7-4a6c-b5bc-1f81fa93964c_TH.png,2025-01-27T16:00:28+00:00
686972,deeland,25 Schip1,67,gevonden voorwerpen,11141,7006,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7006;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/37e35c87-ec1b-438a-93bf-1bfe8ed65ad8_TH.png,2025-01-27T16:00:28+00:00
686973,deeland,25 Schip1,67,gevonden voorwerpen,11142,7007,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7007;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/50efa3e9-aadf-404c-9813-b208fd72f5b9_TH.png,2025-01-27T16:00:28+00:00
686974,deeland,25 Schip1,67,gevonden voorwerpen,11170,7008,"Lot diverse gevonden voorwerpen waaronder lege etuis en andere, exclusief kar",200,400,200,"Lot diverse gevonden voorwerpen waaronder lege etuis en andere, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7008;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/57a74e2c-f134-4479-a9f7-cfd75a091caa_TH.png,2025-01-27T16:00:28+00:00
686975,deeland,25 Schip1,67,gevonden voorwerpen,11143,7009,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7009;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/20b1e80d-d412-472e-9c78-2395112cbdde_TH.png,2025-01-27T16:00:28+00:00
686976,deeland,25 Schip1,67,gevonden voorwerpen,10923,7010,"Lot diverse gevonden voorwerpen, exclusief kar",400,600,400,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7010;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/22eb458c-1364-45df-9da4-cc0791890a45_TH.png,2025-01-27T16:00:28+00:00
686977,deeland,25 Schip1,67,gevonden voorwerpen,10919,7011,"Lot diverse kleding, exclusief kar",300,500,300,"Lot diverse kleding, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7011;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/14395de2-52e2-4161-be99-f850186ffdde_TH.png,2025-01-27T16:00:28+00:00
686978,deeland,25 Schip1,67,gevonden voorwerpen,10929,7012,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7012;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/53b0df76-1fc6-41b1-95c2-7ecf8fffc0ee_TH.png,2025-01-27T16:00:28+00:00
686979,deeland,25 Schip1,67,gevonden voorwerpen,10938,7013,"Lot diverse gevonden voorwerpen, exclusief kar",400,600,400,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7013;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/8d88b6c8-80af-4739-a4e8-5c6fab94c991_TH.png,2025-01-27T16:00:28+00:00
686980,deeland,25 Schip1,67,gevonden voorwerpen,10948,7014,"Lot diverse gevonden voorwerpen, exclusief kar",400,600,400,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7014;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/5509d215-0e39-4bff-9ce0-3b228647bd0a_TH.png,2025-01-27T16:00:28+00:00
686981,deeland,25 Schip1,67,gevonden voorwerpen,10918,7015,"<P>Lot diverse kleding, exclusief kar </P>",300,500,300,"<P>Lot diverse kleding, exclusief kar </P>;;;Gevonden Voorwerpen Schiphol ^;;7015;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/f579ea54-65f0-4db2-a70c-5e073f8c9c04_TH.png,2025-01-27T16:00:28+00:00
686982,deeland,25 Schip1,67,gevonden voorwerpen,10971,7016,"Lot diverse koffers, exclusief kar",700,1000,700,"Lot diverse koffers, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7016;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/88608677-b7a3-4636-9c82-d7a6ca0fe547_TH.png,2025-01-27T16:00:28+00:00
686983,deeland,25 Schip1,67,gevonden voorwerpen,10974,7017,"Lot diverse gevonden voorwerpen, exclusief kar",600,900,600,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7017;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/b30db295-5438-47b5-9513-4cca93ebed62_TH.png,2025-01-27T16:00:28+00:00
686984,deeland,25 Schip1,67,gevonden voorwerpen,10941,7018,"Lot diverse tassen en andere, exclusief kar",600,900,600,"Lot diverse tassen en andere, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7018;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/b13250a8-6166-49d7-9a9c-a22418917139_TH.png,2025-01-27T16:00:28+00:00
686985,deeland,25 Schip1,67,gevonden voorwerpen,10943,7019,"Lot diverse gevonden voorwerpen, exclusief kar",600,900,600,"Lot diverse gevonden voorwerpen, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7019;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/d5a4eecf-a1c8-4b74-a3b5-a6f0d7a9211c_TH.png,2025-01-27T16:00:28+00:00
686986,deeland,25 Schip1,67,gevonden voorwerpen,10942,7020,"Lot diverse tassen en andere, exclusief kar",600,900,600,"Lot diverse tassen en andere, exclusief kar;;;Gevonden Voorwerpen Schiphol ^;;7020;;Lost & Found Schiphol Airport ^;",https://lotimages.blob.core.windows.net/deeland/7b70c8cd-05e5-4f9d-88dd-1e73524eca8b_TH.png,2025-01-27T16:00:28+00:00
